1716732397,delete record human NedStark,failure
1716732397,create type human 6 1 name str origin str title str age int weapon str skill str,success
1716732397,delete record human JonSnow,failure
1716732397,create type human 7 1 name str origin str title str age int weapon str skill str height int,failure
1716732397,delete record human DaenerysTargaryen,failure
1716732397,create record human Bronn Stokeworth Knight 32 Crossbow Swordfighting,success
1716732397,delete record human NedStark,failure
1716732397,create record human JonSnow Winterfell LordCommander 22 Longclaw Swordfighting,success
1716732397,search record human JonSnow,success
1716732397,search record dragon Viserion,failure
1716732397,search record human Joe,failure
1716732397,delete record human JonSnow,success
1716732397,search record human JonSnow,failure
1716732397,delete record human JonSnow,failure
1716732397,create record human JonSnow Winterfell LordCommander 22 Longclaw Swordfighting,success
1716732397,create record human JonSnow Winterfe LoCommander 2 Lgclaw Sdfighting,failure
1716732397,create type dragon 2 2 name str origin str,success
1716732397,create type castle 3 2 name str location str ruler str,success
1716732397,create record dragon Viserion Valyria,success
1716732397,create record dragon Drogon Valyria,failure
1716732397,create record castle Winterfell North Stark,success
1716732397,create record dragon Rhaegal Mahmutya,success
1716732397,create record castle Harrenhal Riverlands Baelish,success
1716732397,create record castle Harrenl Riverlands Bael,failure
1716732397,search record dragon Viserion,failure
1716732397,search record castle Winterfell,failure
1716732397,search record castle Valyria,failure
1716732397,search record dragon Valyria,success
1716732397,search record castle Riverlands,success
1716732397,delete record castle Riverlands,success
1716732397,search record castle Riverlands,failure
1716732406,delete record human NedStark,failure
1716732406,create type human 6 1 name str origin str title str age int weapon str skill str,failure
1716732406,delete record human JonSnow,success
1716732406,create type human 7 1 name str origin str title str age int weapon str skill str height int,failure
1716732406,delete record human DaenerysTargaryen,failure
1716732406,create record human Bronn Stokeworth Knight 32 Crossbow Swordfighting,failure
1716732406,delete record human NedStark,failure
1716732406,create record human JonSnow Winterfell LordCommander 22 Longclaw Swordfighting,success
1716732406,search record human JonSnow,success
1716732406,search record dragon Viserion,failure
1716732406,search record human Joe,failure
1716732406,delete record human JonSnow,success
1716732406,search record human JonSnow,failure
1716732406,delete record human JonSnow,failure
1716732406,create record human JonSnow Winterfell LordCommander 22 Longclaw Swordfighting,success
1716732406,create record human JonSnow Winterfe LoCommander 2 Lgclaw Sdfighting,failure
1716732406,create type dragon 2 2 name str origin str,failure
1716732406,create type castle 3 2 name str location str ruler str,failure
1716732406,create record dragon Viserion Valyria,failure
1716732406,create record dragon Drogon Valyria,failure
1716732406,create record castle Winterfell North Stark,failure
1716732406,create record dragon Rhaegal Mahmutya,failure
1716732406,create record castle Harrenhal Riverlands Baelish,success
1716732406,create record castle Harrenl Riverlands Bael,failure
1716732406,search record dragon Viserion,failure
1716732406,search record castle Winterfell,failure
1716732406,search record castle Valyria,failure
1716732406,search record dragon Valyria,success
1716732406,search record castle Riverlands,success
1716732406,delete record castle Riverlands,success
1716732406,search record castle Riverlands,failure
