Month,Meal,Avg Weather,Avg Count
2024-01,dinner,6.857258064516129,134.2688172043011
2024-01,lunch,9.139032258064516,208.6720430107527
2024-02,dinner,8.299827586206897,206.69540229885058
2024-02,lunch,12.423103448275862,494.8103448275862
2024-03,dinner,8.612903225806452,328.16129032258067
2024-03,lunch,13.661559139784947,351.5806451612903
2024-04,dinner,13.700888888888889,239.22222222222223
2024-04,lunch,19.029611111111112,319.0722222222222
2024-05,dinner,14.404408602150536,273.51075268817203
2024-05,lunch,18.733548387096775,412.86021505376345
2024-06,dinner,22.855999999999998,92.7388888888889
2024-06,lunch,27.61111111111111,123.11666666666666
2024-09,dinner,19.5805,1.0
2024-09,lunch,25.53460410989011,104.9010989010989
2024-10,dinner,14.290001,54.0
2024-10,lunch,19.839285904761905,280.7142857142857
